Keyword,Search Volume (US),CPC (US),Categories,Commercial Potential,Filtering
celestron solar filters,320,$0.31,Home_Improvement,99.2,PASSED
gqf manufacturing,320,$0.31,Business,99.2,PASSED
foam furniture cushions,320,$0.31,Home_Furnishings,99.2,PASSED
larabar bars,320,$0.31,Food_&_Drinks,99.2,PASSED
ladies pashmina shawl,260,$0.38,Beauty_&_Fragrance,98.8,PASSED
greeting card stands,210,$0.47,Home_Furnishings,98.7,PASSED
easy wood turning tools,210,$0.47,Tools_&_Hardware,98.7,PASSED
seeds and plants,170,$0.58,Home_Improvement,98.6,PASSED
welded aluminum boats,170,$0.58,Vehicles_&_Transportation,98.6,PASSED
rite in the rain,170,$0.58,Home_Furnishings,98.6,PASSED
insert wood burning stoves,110,$0.89,Home_Improvement,97.9,PASSED
ikea home furniture,390,$0.25,Home_Furnishings,97.5,PASSED
gilmour sprayer,390,$0.25,Home_Improvement,97.5,PASSED
li polymer battery pack,390,$0.25,Electronics,97.5,PASSED
lane recliners parts,390,$0.25,Home_Furnishings,97.5,PASSED
peaches uniforms,390,$0.25,Clothing_&_Shoes,97.5,PASSED
fabric carport,390,$0.25,Home_Improvement,97.5,PASSED
otc tool catalog,390,$0.25,Tools_&_Hardware,97.5,PASSED
dewalt reconditioned tools,390,$0.25,Tools_&_Hardware,97.5,PASSED
model train locomotives,390,$0.25,Toys,97.5,PASSED
kleenex wet wipes,390,$0.25,Health_&_Wellness,97.5,PASSED
vintage bicycle parts,880,$0.11,Tools_&_Hardware,96.8,PASSED
wilesco steam engine,880,$0.11,Home_Improvement,96.8,PASSED
etsy aprons,880,$0.11,Home_Furnishings,96.8,PASSED
rare pennies,880,$0.11,Finance_&_ColLECTING,96.8,PASSED
wilesco steam engines,880,$0.11,Home_Improvement,96.8,PASSED
talbots outlet sale,880,$0.11,Clothing_&_Shoes,96.8,PASSED
mead cambridge,210,$0.46,Reference,96.6,PASSED
custom harley trikes,1600,$0.06,Vehicles_&_Transportation,96,PASSED
grumman canoe,2400,$0.04,Home_Improvement,96,PASSED
used rv sale,160,$0.60,Vehicles_&_Transportation,96,PASSED
telescoping mast,480,$0.20,Home_Improvement,96,PASSED
texas home decor,480,$0.20,Home_Furnishings,96,PASSED
ikea furniture sale,480,$0.20,Home_Furnishings,96,PASSED
table top replacement,480,$0.20,Home_Furnishings,96,PASSED
new holland baler parts,320,$0.30,Tools_&_Hardware,96,PASSED
french door security bars,480,$0.20,Home_Improvement,96,PASSED
cosmoprof products,480,$0.20,Beauty_&_Fragrance,96,PASSED
tuff shed garages,2400,$0.04,Home_Improvement,96,PASSED
old airstream for sale,1600,$0.06,Vehicles_&_Transportation,96,PASSED
leaf blower parts,480,$0.20,Home_Improvement,96,PASSED
quilting borders,2400,$0.04,Home_Improvement,96,PASSED
used camper shell,1600,$0.06,Vehicles_&_Transportation,96,PASSED
rv satellite,480,$0.20,Vehicles_&_Transportation,96,PASSED
nabisco shredded wheat,480,$0.20,Food_&_Drinks,96,PASSED
used wood stove,2400,$0.04,Home_Improvement,96,PASSED
antique coleman lanterns,2400,$0.04,Home_Furnishings,96,PASSED
antique tonka toys,1600,$0.06,Toys,96,PASSED
miniature instruments,480,$0.20,Arts_&_Entertainment,96,PASSED
boat accessories catalog,320,$0.30,Vehicles_&_Transportation,96,PASSED
fifth wheel skirting,480,$0.20,Home_Improvement,96,PASSED
cheap table centerpieces,480,$0.20,Home_Furnishings,96,PASSED
california quail eggs,480,$0.20,Food_&_Drinks,96,PASSED
camper shells used,1600,$0.06,Vehicles_&_Transportation,96,PASSED
golf posters,480,$0.20,Home_Furnishings,96,PASSED
whitewall tyres,320,$0.30,Vehicles_&_Transportation,96,PASSED
miniature bichon,480,$0.20,Animals,96,PASSED
used vinyl fence,110,$0.87,Home_Improvement,95.7,PASSED
vermeer trencher parts,140,$0.68,Home_Improvement,95.2,PASSED
hairstyles for over 60s,1900,$0.05,Beauty_&_Fragrance,95,PASSED
navajo sand paintings,1900,$0.05,Arts_&_Entertainment,95,PASSED
football card price guide,1900,$0.05,Collectibles,95,PASSED
kiss pinball machine,1900,$0.05,Arts_&_Entertainment,95,PASSED
prune roses for winter,1900,$0.05,Home_Improvement,95,PASSED
church vestments,210,$0.45,Arts_&_Entertainment,94.5,PASSED
fuel filter cross,70,$1.35,Tools_&_Hardware,94.5,PASSED
lucky bamboo pots,590,$0.16,Home_Furnishings,94.4,PASSED
lifetime plastic shed,590,$0.16,Home_Improvement,94.4,PASSED
french toile fabric,590,$0.16,Home_Furnishings,94.4,PASSED
stroller replacement wheels,590,$0.16,Home_Furnishings,94.4,PASSED
diecast 1 18 scale cars,590,$0.16,Vehicles_&_Transportation,94.4,PASSED
military aircraft models,590,$0.16,Toys,94.4,PASSED
atlas tire changer,590,$0.16,Vehicles_&_Transportation,94.4,PASSED
kayak clearance sale,590,$0.16,Home_Improvement,94.4,PASSED
sw motech tank bag,590,$0.16,Vehicles_&_Transportation,94.4,PASSED
best book club books,590,$0.16,Reference,94.4,PASSED
golf clubs used,470,$0.20,Home_Improvement,94,PASSED
salt water aquariums,260,$0.36,Home_Improvement,93.6,PASSED
ladder rack accessories,390,$0.24,Home_Improvement,93.6,PASSED
flood deck stain,720,$0.13,Home_Improvement,93.6,PASSED
no elastic underwear,390,$0.24,Beauty_&_Fragrance,93.6,PASSED
old pocket knives,520,$0.18,Tools_&_Hardware,93.6,PASSED
faded glory leggings,390,$0.24,Clothing_&_Shoes,93.6,PASSED
miniature ball bearings,260,$0.36,Tools_&_Hardware,93.6,PASSED
farberware rotisserie,720,$0.13,Food_&_Drinks,93.6,PASSED
class a rv toy hauler,720,$0.13,Vehicles_&_Transportation,93.6,PASSED
used double stroller,720,$0.13,Home_Furnishings,93.6,PASSED
fireplace heating tubes,320,$0.29,Home_Improvement,92.8,PASSED
fiber optic wands,320,$0.29,Home_Improvement,92.8,PASSED
kubota batteries,320,$0.29,Tools_&_Hardware,92.8,PASSED
rollator parts,320,$0.29,Health_&_Wellness,92.8,PASSED
fmcsa compliance manual,110,$0.84,Business,92.4,PASSED
refurbished rims,210,$0.44,Vehicles_&_Transportation,92.4,PASSED
darice embossing folders,480,$0.19,Arts_&_Entertainment,91.2,PASSED
color hair loreal,380,$0.24,Beauty_&_Fragrance,91.2,PASSED
exhaust gas analyzer,480,$0.19,Business,91.2,PASSED
wheelchair car carrier,480,$0.19,Vehicles_&_Transportation,91.2,PASSED
nissan oil filters,480,$0.19,Vehicles_&_Transportation,91.2,PASSED
machine embroidery hoops,480,$0.19,Arts_&_Entertainment,91.2,PASSED
cheap dvd movies,480,$0.19,Arts_&_Entertainment,91.2,PASSED
fluorescent light parts,480,$0.19,Home_Improvement,91.2,PASSED
golf cart canopy,480,$0.19,Home_Improvement,91.2,PASSED
replacement soles,480,$0.19,Clothing_&_Shoes,91.2,PASSED
kohler engine manuals,480,$0.19,Tools_&_Hardware,91.2,PASSED
homeopathy books,480,$0.19,Health_&_Wellness,91.2,PASSED
gingher sewing scissors,260,$0.35,Home_Improvement,91,PASSED
first day of issue stamp,1300,$0.07,Reference,91,PASSED
old wicker furniture,1300,$0.07,Home_Furnishings,91,PASSED
bichon rescue,1300,$0.07,Animals,91,PASSED
anita mastectomy bras,260,$0.35,Health_&_Wellness,91,PASSED
home improvements catalog,260,$0.35,Home_Improvement,91,PASSED
old buses for sale,1300,$0.07,Vehicles_&_Transportation,91,PASSED
energy speakers,1300,$0.07,Consumer Electronics,91,PASSED
persian cats for adoption,1000,$0.09,Animals,90,PASSED
yorkshire terrier rescue,1000,$0.09,Animals,90,PASSED
bugeye sprite,1000,$0.09,Vehicles_&_Transportation,90,PASSED
router bits profiles chart,1000,$0.09,Home_Improvement,90,PASSED
bisquick mix,1000,$0.09,Food_&_Drinks,90,PASSED
diy welding projects,1000,$0.09,Home_Improvement,90,PASSED
aquarium fish online,1000,$0.09,Home_&_Housewares,90,PASSED
revell model paints,390,$0.23,Home_Improvement,89.7,PASSED
mini jigsaw puzzles,390,$0.23,Games_&_Puzzles,89.7,PASSED
kitchen sink mounting clips,390,$0.23,"Home_Furnishings, Kitchen_&_Housewares",89.7,PASSED
emco storm door hardware,390,$0.23,Home_Improvement,89.7,PASSED
ryobi bt3000 parts,320,$0.28,Home_Improvement,89.60000000000001,PASSED
fluke meter accessories,320,$0.28,Home_Improvement,89.60000000000001,PASSED
new beverly lewis book,320,$0.28,Books_&_Literature,89.60000000000001,PASSED
jaguar steering wheel,320,$0.28,Vehicles_&_Transportation,89.60000000000001,PASSED
karcher parts,320,$0.28,Tools_&_Hardware,89.60000000000001,PASSED
microscope light bulbs,110,$0.81,Electronics,89.10000000000001,PASSED
kipling bags outlet,590,$0.15,Clothing_&_Shoes,88.5,PASSED
covergirl queen collection,590,$0.15,Beauty_&_Fragrance,88.5,PASSED
danby upright freezer,590,$0.15,Home_Kitchen,88.5,PASSED
menards wood fence,590,$0.15,Home_Improvement,88.5,PASSED
waxed cotton hats,590,$0.15,Clothing_&_Shoes,88.5,PASSED
used rv toy haulers,590,$0.15,Vehicles_&_Transportation,88.5,PASSED
second hand lamps,590,$0.15,Home_Electronics,88.5,PASSED
franklin covey binders,260,$0.34,Office_Products,88.4,PASSED
cheap truck toppers,260,$0.34,Vehicles_&_Transportation,88.4,PASSED
komatsu bulldozer parts,90,$0.98,Tools_&_Hardware,88.2,PASSED
first gear garbage trucks,880,$0.10,Vehicles_&_Transportation,88,PASSED
ho train layouts 4x8,880,$0.10,Home_Improvement,88,PASSED
scale model kits,880,$0.10,Toys,88,PASSED
sims computer game,880,$0.10,Video_Games,88,PASSED
vintage car models,880,$0.10,Vehicles_&_Transportation,88,PASSED
salvage motorcycle,880,$0.10,Vehicles_&_Transportation,88,PASSED
farmtek timers,110,$0.80,Home_Improvement,88,PASSED
baby cross stitch kits,220,$0.40,Home_Improvement,88,PASSED
cheese knifes,230,$0.38,Kitchen_&_Housewares,87.4,PASSED
winter vegetable plants,2900,$0.03,Home_&_Garden,87,PASSED
planting hydrangeas,2900,$0.03,Lawn_&_Garden,87,PASSED
domke photogs vest,170,$0.51,Clothing_&_Shoes,86.7,PASSED
ford camper shells,320,$0.27,Vehicles_&_Transportation,86.4,PASSED
thompson chain bibles,320,$0.27,Reference,86.4,PASSED
hobby horse show clothes,320,$0.27,Arts_&_Entertainment,86.4,PASSED
central machinery parts,320,$0.27,Tools_&_Hardware,86.4,PASSED
liberty safe dealers,320,$0.27,Home_Improvement,86.4,PASSED
ceramic watch straps,320,$0.27,Jewelry_&_Watches,86.4,PASSED
teeter machine,320,$0.27,Health_&_Wellness,86.4,PASSED
john wayne collectables,480,$0.18,Arts_&_Entertainment,86.39999999999999,PASSED
sawmill parts,480,$0.18,Tools_&_Hardware,86.39999999999999,PASSED
outboard trolling plate,480,$0.18,Vehicles_&_Transportation,86.39999999999999,PASSED
motorcycle gps navigation,480,$0.18,Vehicles_&_Transportation,86.39999999999999,PASSED
lgb trains for sale,720,$0.12,Vehicles_&_Transportation,86.39999999999999,PASSED
pegboard sheets,480,$0.18,Home_Furnishings,86.39999999999999,PASSED
dresses clearance,480,$0.18,Clothing_&_Shoes,86.39999999999999,PASSED
scotts spreader parts,720,$0.12,Home_Improvement,86.39999999999999,PASSED
thornless rose bushes,480,$0.18,Home_Improvement,86.39999999999999,PASSED
used gibson guitars,720,$0.12,Business,86.39999999999999,PASSED
used manure spreader,480,$0.18,Home_Improvement,86.39999999999999,PASSED
treadmill motors,70,$1.23,Home_Improvement,86.1,PASSED
used bass tracker boats,390,$0.22,Vehicles_&_Transportation,85.8,PASSED
face painting paints,260,$0.33,Arts_&_Entertainment,85.8,PASSED
3 point hitch trencher,390,$0.22,Home_Improvement,85.8,PASSED
lawn tractor seat cover,260,$0.33,Home_Improvement,85.8,PASSED
mastercool parts,390,$0.22,Home_Improvement,85.8,PASSED
flatbed truck bodies,390,$0.22,Vehicles_&_Transportation,85.8,PASSED
paraffin wax refills,260,$0.33,Home_Furnishings,85.8,PASSED
tigger mugs,390,$0.22,Home_Furnishings,85.8,PASSED
wedgwood edme,390,$0.22,Beauty_&_Fragrance,85.8,PASSED
sandals for ladies,390,$0.22,Clothing_&_Shoes,85.8,PASSED
bicycle decals stickers,390,$0.22,Home_Improvement,85.8,PASSED
chromcraft caster chairs,110,$0.78,Home_Furnishings,85.8,PASSED
golden technologies parts,260,$0.33,Tools_&_Hardware,85.8,PASSED
closeout golf shoes,390,$0.22,Vehicles_&_Transportation,85.8,PASSED
cheap planters pots,390,$0.22,Home_Improvement,85.8,PASSED
rheem ac parts,390,$0.22,Home_Furnishings,85.8,PASSED
wheel center cap decal,390,$0.22,Vehicles_&_Transportation,85.8,PASSED
hamper wicker baskets,390,$0.22,Home_Furnishings,85.8,PASSED
chevy instrument cluster,90,$0.95,Vehicles_&_Transportation,85.5,PASSED
matching girl doll clothes,170,$0.50,Clothing_&_Shoes,85,PASSED
proactive skin,110,$0.77,Health_&_Wellness,84.7,PASSED
steam shower parts,90,$0.94,Home_Improvement,84.6,PASSED
on off switches,280,$0.30,Home_Improvement,84,PASSED
computer monitor parts,210,$0.40,Electronics,84,PASSED
hospital bed wheels,210,$0.40,Health_&W,84,PASSED
tractor engine parts,90,$0.93,Tools_&_Hardware,83.7,PASSED
fiberglass animals,110,$0.76,Home_Improvement,83.6,PASSED
cheap mens levi jeans,110,$0.76,Clothing_&_Shoes,83.6,PASSED
discontinued furniture,170,$0.49,Home_Furnishings,83.3,PASSED
jasper marine engines,320,$0.26,Vehicles_&_Transportation,83.2,PASSED
activities for the elderly,320,$0.26,Health_&_Wellness,83.2,PASSED
friedrich ac parts,320,$0.26,Home_Improvement,83.2,PASSED
skyscan clocks,260,$0.32,Home_Furnishings,83.2,PASSED
mobile phone parts,320,$0.26,Electronics,83.2,PASSED
greenhouse vent opener,320,$0.26,Home_Improvement,83.2,PASSED
refillable address book,260,$0.32,Office_Products,83.2,PASSED
catholic statues saints,320,$0.26,Society_&_Culture,83.2,PASSED
concrete sink molds,590,$0.14,Home_Improvement,82.60000000000001,PASSED
complete dvd series,590,$0.14,Entertainment_&_Media,82.60000000000001,PASSED
apricot clothing,590,$0.14,Clothing_&_Shoes,82.60000000000001,PASSED
predictions shoes,590,$0.14,Clothing_&_Shoes,82.60000000000001,PASSED
dvd complete series,590,$0.14,Home_Furnishings,82.60000000000001,PASSED
cooks sheds,140,$0.59,Home_Improvement,82.6,PASSED
archtop jazz guitar,210,$0.39,Music,81.9,PASSED
john deere mower deck belt,210,$0.39,Tools_&_Hardware,81.9,PASSED
discount sunbrella fabric,210,$0.39,Home_Furnishings,81.9,PASSED
childrens golden books,390,$0.21,Books_&_Literature,81.89999999999999,PASSED
navy posters,390,$0.21,Home_Furnishings,81.89999999999999,PASSED
flexitouch lymphedema pump,390,$0.21,Health_&_Wellness,81.89999999999999,PASSED
discount outdoor fabric,390,$0.21,Home_Furnishings,81.89999999999999,PASSED
cross stitch needlework,390,$0.21,Arts_&_Entertainment,81.89999999999999,PASSED
organic fruit tree spray,390,$0.21,Home_Improvement,81.89999999999999,PASSED
sheds clearance,480,$0.17,Home_Improvement,81.60000000000001,PASSED
hancock fabrics locations,480,$0.17,Home_Furnishings,81.60000000000001,PASSED
motorhomes auctions,480,$0.17,Vehicles_&_Transportation,81.60000000000001,PASSED
sea ray parts catalog,480,$0.17,Vehicles_&_Transportation,81.60000000000001,PASSED
artist mackenzie thorpe,480,$0.17,Arts_&_Entertainment,81.60000000000001,PASSED
sea shell toilet seat,480,$0.17,Home_Furnishings,81.60000000000001,PASSED
used mustang parts,480,$0.17,Vehicles_&_Transportation,81.60000000000001,PASSED
discount mobile home parts,480,$0.17,Home_Improvement,81.60000000000001,PASSED
antique trunk hardware,480,$0.17,Home_Improvement,81.60000000000001,PASSED
veils and headpieces,480,$0.17,Beauty_&_Fragrance,81.60000000000001,PASSED
refurb alloy wheels,170,$0.48,Vehicles_&_Transportation,81.6,PASSED
culligan parts,170,$0.48,Home_Improvement,81.6,PASSED
blower wheel replacement,170,$0.48,Home_Improvement,81.6,PASSED
home fuel oil tanks,50,$1.63,Home_Improvement,81.5,PASSED
greenhouse repair,140,$0.58,Home_Improvement,81.19999999999999,PASSED
golden mobility scooter,140,$0.58,Vehicles_&_Transportation,81.19999999999999,PASSED
mealtime prayers,8100,$0.01,Arts_&_Entertainment,81,PASSED
dwarf orange trees,100,$0.81,Food_&_Drinks,81,PASSED
chevy camper shell,260,$0.31,Vehicles_&_Transportation,80.6,PASSED
granite stone slabs,90,$0.89,Home_Improvement,80.1,PASSED
colored contact paper,320,$0.25,Office_Products,80,PASSED
wood blanks,320,$0.25,Toys,80,PASSED
ethan allen used furniture,1000,$0.08,Home_Furnishings,80,PASSED
new testament pocket bible,320,$0.25,Books_&_Literature,80,PASSED
42 in mower blades,320,$0.25,Home_Improvement,80,PASSED
smart cover makeup,320,$0.25,Beauty_&_Fragrance,80,PASSED
glasses frames parts,1000,$0.08,Home_Improvement,80,PASSED
eyeglasses frame parts,1000,$0.08,Home_Furnishings,80,PASSED
old monet jewelry,1600,$0.05,Jewelry_&_Watches,80,PASSED
climbing flowering vine,1600,$0.05,Home_Improvement,80,PASSED
mobility handicap vans,40,$2.00,Vehicles_&_Transportation,80,PASSED
circulon cookware costco,320,$0.25,Home_Kitchen_&_Housewares,80,PASSED
english leather deodorant,320,$0.25,Health_&_Wellness,80,PASSED
vintage blow molds,1600,$0.05,Home_Kitchen_&_Housewares,80,PASSED
eyeglass frame parts,1000,$0.08,Home_Furnishings,80,PASSED
citizen watch parts,320,$0.25,Jewelry_&_Watches,80,PASSED
mercer cutlery,320,$0.25,Kitchen_&_Housewares,80,PASSED
wedding poems and readings,1000,$0.08,Arts_&_Entertainment,80,PASSED
freezer paper sheets,170,$0.47,Kitchen_&_Housewares,79.89999999999999,PASSED
armour under,170,$0.47,Clothing_&_Shoes,79.89999999999999,PASSED
heartland dryer vent,170,$0.47,Home_Improvement,79.89999999999999,PASSED
jean patrique cookware,210,$0.38,Kitchen_&_Housewares,79.8,PASSED
gopro parts,210,$0.38,Electronics,79.8,PASSED
mile a minute afghan,720,$0.11,Home_Furnishings,79.2,PASSED
g scale model trains,720,$0.11,Home_Improvement,79.2,PASSED
ozark trail products,720,$0.11,Home_Improvement,79.2,PASSED
lapidary used equipment,880,$0.09,Tools_&_Hardware,79.2,PASSED
adult tricycle used,880,$0.09,Vehicles_&_Transportation,79.2,PASSED
wood veneer supplies,110,$0.72,Home_Improvement,79.2,PASSED
ryobi garden tools,720,$0.11,Home_Improvement,79.2,PASSED
used golf simulators,720,$0.11,Home_Improvement,79.2,PASSED
rc outboard motor,720,$0.11,Vehicles_&_Transportation,79.2,PASSED
used ford f250 trucks,170,$0.46,Vehicles_&_Transportation,78.2,PASSED
old town canoe seat,390,$0.20,Home_Furnishings,78,PASSED
skagen watch repair,390,$0.20,Jewelry_&_Watches,78,PASSED
ncis merchandise,390,$0.20,Arts_&_Entertainment,78,PASSED
value of old records,1300,$0.06,Reference,78,PASSED
military garden flags,260,$0.30,Home_Improvement,78,PASSED
marine fuel pump,260,$0.30,Vehicles_&_Transportation,78,PASSED
inexpensive bird houses,390,$0.20,Home_Improvement,78,PASSED
fischer anchors,260,$0.30,Tools_&_Hardware,78,PASSED
bostitch parts,260,$0.30,Tools_&_Hardware,78,PASSED
model aircraft paints,390,$0.20,Home_Improvement,78,PASSED
lehman trike kits,390,$0.20,Home_Improvement,78,PASSED
used hydraulic press,390,$0.20,Home_Improvement,78,PASSED
knitting patterns poncho,1300,$0.06,Home_Furnishings,78,PASSED
jafra skin care products,390,$0.20,Beauty_&_Fragrance,78,PASSED
country western music,1300,$0.06,Arts_&_Entertainment,78,PASSED
kia sorento parts,390,$0.20,Vehicles_&_Transportation,78,PASSED
dollhouse furniture 1 12,390,$0.20,Home_Furnishings,78,PASSED
replacement grip,210,$0.37,Tools_&_Hardware,77.7,PASSED
scrubber battery,210,$0.37,Housewares,77.7,PASSED
taxco silver jewelry,220,$0.35,Jewelry_&_Watches,77,PASSED
used cylinder heads,110,$0.70,Tools_&_Hardware,77,PASSED
used reefer trailers,140,$0.55,Vehicles_&_Transportation,77,PASSED
honey bottles,320,$0.24,Kitchen_&_Housewares,76.8,PASSED
12 inch band saw,480,$0.16,Home_Improvement,76.8,PASSED
used club car,320,$0.24,Vehicles_&_Transportation,76.8,PASSED
craftsman work bench,480,$0.16,Home_Improvement,76.8,PASSED
kidney disease cookbook,320,$0.24,Food_&_Drinks,76.8,PASSED
african accessories,480,$0.16,Jewelry_&_Watches,76.8,PASSED
susan winget fabric,480,$0.16,Home_Furnishings,76.8,PASSED
candle silicone mold,320,$0.24,Home_Improvement,76.8,PASSED
32 piece dinnerware set,480,$0.16,Kitchen_&_Housewares,76.8,PASSED
primus camp stoves,480,$0.16,Home_Furnings,76.8,PASSED
fly flot shoes women,320,$0.24,Clothing_&_Shoes,76.8,PASSED
farmall parts,480,$0.16,Tools_&_Hardware,76.8,PASSED
rust repair panels,480,$0.16,Tools_&_Hardware,76.8,PASSED
rear wiper motor,320,$0.24,Vehicles_&_Transportation,76.8,PASSED
antique gibson guitars,590,$0.13,Arts_&_Entertainment,76.7,PASSED
used french horns,590,$0.13,Arts_&_Entertainment,76.7,PASSED
mariner outboard parts,590,$0.13,Vehicles_&_Transportation,76.7,PASSED
payless shoes women,590,$0.13,Clothing_&_Shoes,76.7,PASSED
buell motorcycle parts,590,$0.13,Vehicles_&_Transportation,76.7,PASSED
mini portable tv,590,$0.13,Electronics,76.7,PASSED
buell parts,590,$0.13,Tools_&_Hardware,76.7,PASSED
motive products,590,$0.13,Beauty_&amp;Fragrance,76.7,PASSED
concrete brick molds,590,$0.13,Home_Improvement,76.7,PASSED
used ibanez guitars,590,$0.13,Vehicles_&_Transportation,76.7,PASSED
flooring vinyl plank,90,$0.85,Home_Furnishings,76.5,PASSED
sawmill supplies,170,$0.45,Tools_&_Hardware,76.5,PASSED
antique mason jars,1900,$0.04,Home_Furnishings,76,PASSED
hairstyles for over 60,1900,$0.04,Beauty_&_Fragrance,76,PASSED
edison phonograph,1900,$0.04,Arts_&_Entertainment,76,PASSED
cooking roast beef,1900,$0.04,Food_&_Drinks,76,PASSED
parrots for adoption,1900,$0.04,Animals,76,PASSED
legoland ticket prices,1900,$0.04,Travel,76,PASSED
lazy boy recliners parts,110,$0.69,Home_Furnishings,75.89999999999999,PASSED
isuzu transmission,90,$0.84,Vehicles_&_Transportation,75.6,PASSED
used steel pipes,90,$0.84,Tools_&_Hardware,75.6,PASSED
filson outdoor clothing,90,$0.84,Clothing_&_Shoes,75.6,PASSED
kiwi shoe polish colors,260,$0.29,Clothing_&_Shoes,75.39999999999999,PASSED
brilliance spa chemicals,110,$0.68,Health_&_Wellness,74.80000000000001,PASSED
fireplace damper handle,110,$0.68,Home_Improvement,74.80000000000001,PASSED
jabsco marine toilet parts,170,$0.44,Home_Improvement,74.8,PASSED
waring parts,140,$0.53,Tools_&_Hardware,74.2,PASSED
ceramic house numbers tiles,390,$0.19,Home_Design_&_Furnishings,74.1,PASSED
pierre deux fabrics,390,$0.19,Home_Furnishings,74.1,PASSED
mtd tiller parts,390,$0.19,Home_Improvement,74.1,PASSED
faded glory shorts men,390,$0.19,Clothing_&_Shoes,74.1,PASSED
pierre deux fabric,390,$0.19,Clothing_&_Shoes,74.1,PASSED
nova wood lathes,390,$0.19,Home_Improvement,74.1,PASSED
ceramic bisque to paint,390,$0.19,Home_Furnishings,74.1,PASSED
cholesterol meter,390,$0.19,Health_&_Wellness,74.1,PASSED
perfumes escada,390,$0.19,Beauty_&_Fragrance,74.1,PASSED
bisque ceramics to paint,390,$0.19,Home_Furnishings,74.1,PASSED
designer salwar kameez suit,110,$0.67,Clothing_&_Shoes,73.7,PASSED
bicycle handlebar baskets,320,$0.23,Home_Furnishings,73.60000000000001,PASSED
folding accordion doors,320,$0.23,Home_Furnishings,73.60000000000001,PASSED
nantucket gifts,320,$0.23,Home_Furnishings,73.60000000000001,PASSED
faucet aerator adapter,320,$0.23,Home_Furnishings,73.60000000000001,PASSED
potpourri gifts,210,$0.35,Beauty_&_Fragrance,73.5,PASSED
church dresses and suits,210,$0.35,Clothing_&_Shoes,73.5,PASSED
cedar fencing materials,90,$0.81,Home_Improvement,72.9,PASSED
bagboy accessories,260,$0.28,Clothing_&_Shoes,72.80000000000001,PASSED
mtd riding mower parts,260,$0.28,Home_Improvement,72.80000000000001,PASSED
50 lb rock salt,260,$0.28,Home_Improvement,72.80000000000001,PASSED
mens lightweight shoes,260,$0.28,Clothing_&_Shoes,72.80000000000001,PASSED
cheapest hedge trimmer,260,$0.28,Home_Improvement,72.80000000000001,PASSED
diamond tea robes,260,$0.28,Home_Furnishings,72.80000000000001,PASSED
tyre valve caps,110,$0.66,Vehicles_&_Transportation,72.60000000000001,PASSED
aquaculture supplies,110,$0.66,Home_Improvement,72.60000000000001,PASSED
mission furniture stickley,480,$0.15,Home_Furnishings,72,PASSED
57 chevy convertible,720,$0.10,Vehicles_&_Transportation,72,PASSED
antique gas pumps parts,720,$0.10,Home_Improvement,72,PASSED
large scale models,720,$0.10,Home_Improvement,72,PASSED
dollar tree products,2400,$0.03,Home_Furnishings,72,PASSED
cuckoo clock kits,480,$0.15,Home_Furnishings,72,PASSED
new home sewing machines,2400,$0.03,Home_Furnishings,72,PASSED
boyds bears value,2400,$0.03,Collectibles,72,PASSED
old letter openers,720,$0.10,Home_Furnishings,72,PASSED
tubes electronics,720,$0.10,Electronics,72,PASSED
hasbro scrabble online,200,$0.36,Electronics,72,PASSED
first world war medals,720,$0.10,History,72,PASSED
1935 silver dollar,720,$0.10,Coins,72,PASSED
antique newel posts,720,$0.10,Home_Improvement,72,PASSED
outrunner brushless motors,480,$0.15,Electronics,72,PASSED
used truck tonneau covers,480,$0.15,Vehicles_&_Transportation,72,PASSED
japanese accessories,480,$0.15,Jewelry_&_Watches,72,PASSED
union jack stickers,210,$0.34,Clothing_&_Shoes,71.4,PASSED
second hand beds,140,$0.51,Home_Furnishings,71.4,PASSED
tiles discontinued,170,$0.42,Home_Improvement,71.39999999999999,PASSED
antique vintage lamps,590,$0.12,Home_Furnishings,70.8,PASSED
used mobile home parts,590,$0.12,Home_Improvement,70.8,PASSED
vtech replacement parts,590,$0.12,Electronics,70.8,PASSED
used motorcycle helmets,590,$0.12,Vehicles_&_Transportation,70.8,PASSED
gates timing belt,590,$0.12,Vehicles_&_Transportation,70.8,PASSED
shop harbor freight,590,$0.12,Home_Furnishings,70.8,PASSED
lionel steam locomotives,880,$0.08,Home_Improvement,70.4,PASSED
envirosax bags,320,$0.22,Lawn_&_Garden,70.4,PASSED
plastic garden bench,320,$0.22,Home_Improvement,70.4,PASSED
ladies pumps shoes,320,$0.22,Clothing_&_Shoes,70.4,PASSED
cheap baby doll,160,$0.44,Kids_&_Teens_Lifestyle,70.4,PASSED
craftsman wood lathe,880,$0.08,Home_Improvement,70.4,PASSED
electric pecan sheller,320,$0.22,Home_Kitchen,70.4,PASSED
best vinyl repair kit,320,$0.22,Home_Improvement,70.4,PASSED
old outboard parts,320,$0.22,Tools_&_Hardware,70.4,PASSED
dreams and their meanings,880,$0.08,Reference,70.4,PASSED
used prs guitars,880,$0.08,Arts_&_Entertainment,70.4,PASSED
delta replacement handles,320,$0.22,Home_Improvement,70.4,PASSED
used casita trailers,880,$0.08,Home_Improvement,70.4,PASSED
cross pens for sale,320,$0.22,Office_Products,70.4,PASSED
outdoor screen houses,390,$0.18,Home_Improvement,70.2,PASSED
locking fuel door,390,$0.18,Vehicles_&_Transportation,70.2,PASSED
model cars collectables,390,$0.18,Vehicles_&_Transportation,70.2,PASSED
